Run,Heapq,PriorityQueue
1,1.0096386999939568,1.1750031999545172
2,0.9922113999491557,1.0958037999807857
3,0.980383999994956,1.085873799980618
4,0.9818205000483431,1.0947273999918252
5,0.9770703999674879,1.095723700011149
6,0.972693599993363,1.0989356000209227
7,0.9780271999770775,1.097996599972248
8,0.9811670999624766,1.0912118999985978
9,0.976238299976103,1.0946653000428341
10,1.0035742999752983,1.1084274999448098
11,0.9798577999463305,1.111922899959609
12,0.9772476000362076,1.1054650000296533
13,1.0209791000233963,1.1075286999694072
14,1.00247040000977,1.0971349999890663
15,0.9947261000052094,1.1018785999622196
16,0.9870125000015832,1.0972429999965243
17,0.9937326000072062,1.0958767000120133
18,0.9830402999650687,1.1050529000349343
19,0.9920478999847546,1.1069920999580063
20,0.9979128999984823,1.1002762999851257
21,0.9995806999504566,1.09959150000941
22,0.9896126000094227,1.0930375999887474
23,0.9971721999463625,1.102471099991817
24,0.9969559999881312,1.103552899963688
25,0.9953991000074893,1.111801600025501
26,0.9946319999871776,1.1184655000106432
27,1.000164200027939,1.1213928000070155
28,1.0059878999600187,1.1225588000379503
29,0.997164900007192,1.1066842999425717
30,0.9916410999721847,1.1073407999938354
31,0.9920885000028647,1.100282400031574
32,1.0100441999966279,1.11996659997385
33,0.9950659000314772,1.1101411000126973
34,0.9944837000221014,1.114524100034032
35,1.0019217999652028,1.1241090999683365
36,0.9974765999941155,1.122558899980504
37,0.9955950999865308,1.1185455999802798
38,0.9994413999957033,1.1315589000005275
39,1.0158578000264242,1.128497999976389
40,1.0004145000129938,1.1253636999754235
41,1.021992699999828,1.106959900003858
42,0.9989154000068083,1.1022168000345118
43,0.9879344999790192,1.1020421999855898
44,0.9974484000122175,1.1185062000295147
45,1.013135900022462,1.1271177000016905
46,1.015985100006219,1.1192497999873012
47,1.0120942000066862,1.1081579000456259
48,0.9950841000536457,1.1109483999898657
49,1.0171066000475548,1.1087525999755599
50,0.9918743000016548,1.1182726999977604
51,1.0039879999822006,1.0985528000164777
52,0.9917497999849729,1.1042759999982081
53,0.9992213000077754,1.1260907999821939
54,1.0194016000023112,1.1108360000071116
55,1.0013929999549873,1.115877799980808
56,1.006511599989608,1.1165785000193864
57,1.0122268000268377,1.1183931999839842
58,0.9992568000452593,1.1132260999875143
59,1.0003422999870963,1.106670600012876
60,1.0061603000503965,1.1015235999948345
61,0.9944907000171952,1.1049477999913506
62,1.0027789999730885,1.1157755000167526
63,0.9994319000397809,1.1050666000228375
64,1.0035912999883294,1.0954968999722041
65,0.9916580999852158,1.0977050000219606
66,1.0042948999907821,1.1155952999833971
67,1.007180500018876,1.115530300012324
68,0.9866066999966279,1.1047748000128195
69,0.9844748000032268,1.1185186000075191
70,1.006245199998375,1.0974356000078842
71,0.998700900003314,1.0994433999876492
72,0.9900895000318997,1.1099613000405952
73,1.0015261999797076,1.0968252000166103
74,1.0005511999479495,1.112737899995409
75,1.001195800025016,1.1143660999950953
76,0.9942051999969408,1.0920952999731526
77,1.0143106000032276,1.122822700010147
78,0.9895057999528944,1.0952021999983117
79,1.010369300027378,1.0984500999911688
80,0.9968938999809325,1.1187884000246413
81,1.0172042000340298,1.0952075999812223
82,0.9850932999979705,1.0924969000043347
83,0.9984468999900855,1.1155507999937981
84,1.0013439999893308,1.117419299960602
85,1.0147071999963373,1.101238499977626
86,0.9903656999813393,1.0947523000068031
87,1.0003708000294864,1.1121350000030361
88,0.9854872000287287,1.0994340000324883
89,0.9864724999642931,1.1017639000201598
90,0.9929364999989048,1.108832900004927
91,0.9963920000009239,1.111764499975834
92,0.9967379000154324,1.1049562999978662
93,1.0092749000177719,1.1075572000117972
94,1.0111473000142723,1.1095253000385128
95,0.9886681999778375,1.0977362000267021
96,0.9966262999805622,1.1105514999944717
97,0.9974685999914072,1.1205235999659635
98,1.0091803999966942,1.1278768999618478
99,1.00267509999685,1.1085653000045568
100,1.0082310000434518,1.1152334000216797
